,time,train_coeff_0_mean_squared_error,train_coeff_1_mean_squared_error,train_coeff_2_mean_squared_error,train_coeff_3_mean_squared_error,valid_coeff_0_mean_squared_error,valid_coeff_1_mean_squared_error,valid_coeff_2_mean_squared_error,valid_coeff_3_mean_squared_error,learning_rate
13,21:52:44 2019-06-02,0.2790126800537109,0.11937884241342545,1.4755064249038696,0.5625311732292175,0.09070270508527756,0.013085572980344296,0.2464403361082077,0.138683021068573,0.0001
14,21:52:45 2019-06-02,0.2819471061229706,0.050351317971944816,0.3633453845977783,0.5195773243904114,0.018597304821014404,0.046798363327980035,0.4955034255981445,0.5070939660072327,0.0001
15,21:52:45 2019-06-02,0.20666293799877167,0.1778547614812851,1.2005149126052856,0.703366756439209,0.020964551717042926,0.0363461971282959,0.5765993595123291,0.5667816996574402,0.0001
16,21:52:46 2019-06-02,0.2573907971382141,0.13429060578346252,0.17777536809444427,0.3897759020328522,0.028306419029831886,0.0038687395863235,0.045946218073368066,0.14954622089862826,0.0001
17,21:52:47 2019-06-02,0.32568156719207764,0.16669733822345734,0.7170486450195312,0.2832947075366974,0.03257947787642479,0.012793517671525478,0.3337505459785461,0.03073927387595177,0.0001
18,21:52:47 2019-06-02,0.1179300919175148,0.2776935398578644,0.2923204004764557,0.15620939433574674,0.0767495185136795,0.08026000112295151,0.07841362059116364,0.05030178651213646,5e-05
19,21:52:48 2019-06-02,0.2632134556770325,0.16385705769062042,0.3481416702270508,0.20087717473506927,0.051412202417850494,0.06873223185539246,0.10886159539222716,0.03061543405056,5e-05
20,21:52:59 2019-06-02,0.0954415276646614,0.1893657892942429,0.5260348320007324,1.0101639032363892,0.08047250658273697,0.08198375999927521,0.012616110034286976,0.04661685228347778,0.0001
21,21:53:00 2019-06-02,0.04602544009685517,0.27421295642852783,0.1586054116487503,0.8412684798240662,0.0007233548676595093,0.015699611976742744,0.15695741772651672,0.7026283740997314,0.0001
22,21:53:01 2019-06-02,0.19508467614650726,0.26996472477912903,0.3719511926174164,0.16232174634933472,0.010121253319084644,0.07144603133201599,0.33756259083747864,0.10186521708965304,0.0001
23,21:53:01 2019-06-02,0.2790126800537109,0.11937884241342545,1.4755064249038696,0.5625311732292175,0.09070270508527756,0.013085572980344296,0.2464403361082077,0.138683021068573,0.0001
